,ligne,N_dpt,Date,Type,N_ref,Nom,Organisme,Commune,Analysé,G_session,Espèce,Lignée,Sexe,Génotype,IQ
1249,"06 27/03/2019 F F0619142 DOVA PNM DURANUS OUI 17/02/2020 Canis lupus NA XY S66-30 0,92",6,27/03/2019,F,F0619142,DOVA,PNM,DURANUS,OUI,17/02/2020,Canis lupus,NA,XY,S66-30,"0,92"
1250,"06 28/03/2019 F F0619143 COMBEAUD PNM TENDE OUI 17/10/2019 Canis lupus Italo-alpine XX S59-10 1,00",6,28/03/2019,F,F0619143,COMBEAUD,PNM,TENDE,OUI,17/10/2019,Canis lupus,Italo-alpine,XX,S59-10,1
1251,"06 28/03/2019 F F0619144 COMBEAUD PNM TENDE OUI 17/10/2019 Canis lupus Italo-alpine NI NA 0,00",6,28/03/2019,F,F0619144,COMBEAUD,PNM,TENDE,OUI,17/10/2019,Canis lupus,Italo-alpine,NI,NA,0
1252,"06 30/03/2019 F F0619203 ALIE CNRS BEZAUDUN LES ALPES OUI 17/02/2020 Canis lupus Italo-alpine NI NA 0,00",6,30/03/2019,F,F0619203,ALIE,CNRS,BEZAUDUN LES ALPES,OUI,17/02/2020,Canis lupus,Italo-alpine,NI,NA,0
1253,06 01/04/2019 F F0619145 MILLISCHER Particulier VALDEBLORE OUI 17/02/2020 NA NA,6,01/04/2019,F,F0619145,MILLISCHER,Particulier,VALDEBLORE,OUI,17/02/2020,NA NA,,,,
1254,06 01/04/2019 F F0619146 MILLISCHER PNM VALDEBLORE OUI 17/10/2019 Vulpes vulpes,6,01/04/2019,F,F0619146,MILLISCHER,PNM,VALDEBLORE,OUI,17/10/2019,Vulpes vulpes,,,,
1255,06 01/04/2019 F F0619146 MILLISCHER Particulier VALDEBLORE OUI 17/10/2019 Vulpes vulpes,6,01/04/2019,F,F0619146,MILLISCHER,Particulier,VALDEBLORE,OUI,17/10/2019,Vulpes vulpes,,,,
1256,"06 01/04/2019 F F0619147 COSSU OFB BRIANCONNET OUI 17/02/2020 Canis lupus Italo-alpine XX S68-25 0,97",6,01/04/2019,F,F0619147,COSSU,OFB,BRIANCONNET,OUI,17/02/2020,Canis lupus,Italo-alpine,XX,S68-25,"0,97"
1257,06 01/04/2019 F F0619145 MILLISCHER PNM VALDEBLORE OUI 17/02/2020 NA NA,6,01/04/2019,F,F0619145,MILLISCHER,PNM,VALDEBLORE,OUI,17/02/2020,NA NA,,,,
1258,06 03/04/2019 F F0619148 MILLISCHER PNM ST SAUVEUR SUR TINEE OUI 17/02/2020 NA NA,6,03/04/2019,F,F0619148,MILLISCHER,PNM,ST SAUVEUR SUR TINEE,OUI,17/02/2020,NA NA,,,,
