,ligne,N_dpt,Date,Type,N_ref,Nom,Organisme,Commune,Analysé,G_session,Espèce,Lignée,Sexe,Génotype,IQ
3322,"83 14/02/2019 D D8319001 MOLINS OFB BORMES LES MIMOSAS OUI 14/11/2019 Canis lupus Italo-alpine XY S65-16 0,88",83,14/02/2019,D,D8319001,MOLINS,OFB,BORMES LES MIMOSAS,OUI,14/11/2019,Canis lupus,Italo-alpine,XY,S65-16,"0,88"
3323,"83 17/02/2019 F F8319012 PULLINO OFB BAUDUEN OUI 14/11/2019 Canis lupus Italo-alpine XX S57-57 0,82",83,17/02/2019,F,F8319012,PULLINO,OFB,BAUDUEN,OUI,14/11/2019,Canis lupus,Italo-alpine,XX,S57-57,"0,82"
3324,"83 17/02/2019 F F8319013 PULLINO OFB BAUDUEN OUI 14/11/2019 Canis lupus Italo-alpine XX S57-57 0,89",83,17/02/2019,F,F8319013,PULLINO,OFB,BAUDUEN,OUI,14/11/2019,Canis lupus,Italo-alpine,XX,S57-57,"0,89"
3325,"83 17/02/2019 F F8319014 PULLINO OFB BAUDUEN OUI 14/11/2019 Impossible NA NI NA 0,00",83,17/02/2019,F,F8319014,PULLINO,OFB,BAUDUEN,OUI,14/11/2019,Impossible NA,NI,NA,0,0
3326,"83 19/02/2019 F F8319015 GEORGE Chasseur MONS OUI 14/11/2019 Canis lupus Italo-alpine XY S67-10 0,99",83,19/02/2019,F,F8319015,GEORGE,Chasseur,MONS,OUI,14/11/2019,Canis lupus,Italo-alpine,XY,S67-10,"0,99"
3327,"83 20/02/2019 F F8319016 PULLINO OFB AUPS OUI 14/11/2019 Canis lupus Italo-alpine XY S58-03 0,59",83,20/02/2019,F,F8319016,PULLINO,OFB,AUPS,OUI,14/11/2019,Canis lupus,Italo-alpine,XY,S58-03,"0,59"
3328,"83 23/02/2019 D D8319004 JAUBERT OFB POURCIEUX OUI 14/11/2019 Canis lupus Italo-alpine XX S62-25 1,00",83,23/02/2019,D,D8319004,JAUBERT,OFB,POURCIEUX,OUI,14/11/2019,Canis lupus,Italo-alpine,XX,S62-25,1
3329,83 04/03/2019 F F8319025 RODA PNPC CHATEAUDOUBLE OUI 17/06/2019 Vulpes vulpes,83,04/03/2019,F,F8319025,RODA,PNPC,CHATEAUDOUBLE,OUI,17/06/2019,Vulpes vulpes,,,,
3330,"83 04/03/2019 F F8319023 RODA PNPC CHATEAUDOUBLE OUI 17/06/2019 Impossible NA XY NA 0,43",83,04/03/2019,F,F8319023,RODA,PNPC,CHATEAUDOUBLE,OUI,17/06/2019,Impossible NA,XY,NA,0,"0,43"
3331,"83 04/03/2019 F F8319020 RODA PNPC CHATEAUDOUBLE OUI 17/06/2019 Canis lupus Italo-alpine XX S62-06 0,91",83,04/03/2019,F,F8319020,RODA,PNPC,CHATEAUDOUBLE,OUI,17/06/2019,Canis lupus,Italo-alpine,XX,S62-06,"0,91"
3332,83 04/03/2019 F F8319026 RODA PNPC CHATEAUDOUBLE OUI 17/06/2019 Impossible NA,83,04/03/2019,F,F8319026,RODA,PNPC,CHATEAUDOUBLE,OUI,17/06/2019,Impossible NA,,,,
3333,"83 04/03/2019 F F8319021 RODA PNPC CHATEAUDOUBLE OUI 17/06/2019 Canis lupus Italo-alpine XX S62-06 0,88",83,04/03/2019,F,F8319021,RODA,PNPC,CHATEAUDOUBLE,OUI,17/06/2019,Canis lupus,Italo-alpine,XX,S62-06,"0,88"
3334,83 04/03/2019 F F8319022 RODA PNPC CHATEAUDOUBLE OUI 17/06/2019 Impossible NA,83,04/03/2019,F,F8319022,RODA,PNPC,CHATEAUDOUBLE,OUI,17/06/2019,Impossible NA,,,,
3335,"83 04/03/2019 F F8319024 RODA PNPC CHATEAUDOUBLE OUI 17/06/2019 Canis lupus Italo-alpine XX NA 0,21",83,04/03/2019,F,F8319024,RODA,PNPC,CHATEAUDOUBLE,OUI,17/06/2019,Canis lupus,Italo-alpine,XX,NA,"0,21"
3336,"83 05/03/2019 F F8319029 RODA PNPC CHATEAUDOUBLE OUI 17/06/2019 Canis lupus Italo-alpine XX S62-06 0,68",83,05/03/2019,F,F8319029,RODA,PNPC,CHATEAUDOUBLE,OUI,17/06/2019,Canis lupus,Italo-alpine,XX,S62-06,"0,68"
3337,"83 05/03/2019 F F8319027 RODA PNPC MONTFERRAT OUI 17/06/2019 Canis lupus Italo-alpine XY S62-38 0,89",83,05/03/2019,F,F8319027,RODA,PNPC,MONTFERRAT,OUI,17/06/2019,Canis lupus,Italo-alpine,XY,S62-38,"0,89"
3338,"83 05/03/2019 F F8319028 RODA PNPC MONTFERRAT OUI 17/06/2019 Canis lupus Italo-alpine XX S62-06 0,58",83,05/03/2019,F,F8319028,RODA,PNPC,MONTFERRAT,OUI,17/06/2019,Canis lupus,Italo-alpine,XX,S62-06,"0,58"
3339,"83 06/03/2019 F F8319030 RODA PNPC DRAGUIGNAN OUI 17/06/2019 Canis lupus Italo-alpine XX S62-06 0,99",83,06/03/2019,F,F8319030,RODA,PNPC,DRAGUIGNAN,OUI,17/06/2019,Canis lupus,Italo-alpine,XX,S62-06,"0,99"
3340,83 06/03/2019 F F8319031 RODA PNPC DRAGUIGNAN OUI 17/06/2019 Impossible NA,83,06/03/2019,F,F8319031,RODA,PNPC,DRAGUIGNAN,OUI,17/06/2019,Impossible NA,,,,
3341,83 06/03/2019 F F8319032 RODA PNPC DRAGUIGNAN OUI 17/06/2019 Impossible NA,83,06/03/2019,F,F8319032,RODA,PNPC,DRAGUIGNAN,OUI,17/06/2019,Impossible NA,,,,
3342,"83 08/03/2019 F F8319034 PULLINO OFB FOX AMPHOUX OUI 14/11/2019 Canis lupus Italo-alpine XX S57-23 0,65",83,08/03/2019,F,F8319034,PULLINO,OFB,FOX AMPHOUX,OUI,14/11/2019,Canis lupus,Italo-alpine,XX,S57-23,"0,65"
3343,"83 08/03/2019 F F8319033 PULLINO OFB FOX AMPHOUX OUI 14/11/2019 Canis lupus Italo-alpine NI NA 0,13",83,08/03/2019,F,F8319033,PULLINO,OFB,FOX AMPHOUX,OUI,14/11/2019,Canis lupus,Italo-alpine,NI,NA,"0,13"
3344,"83 12/03/2019 F F8319067 LOUIS Particulier MAZAUGUES OUI 18/09/2019 Canis familiaris NA NI NA 0,21",83,12/03/2019,F,F8319067,LOUIS,Particulier,MAZAUGUES,OUI,18/09/2019,Canis familiaris,NA,NI,NA,"0,21"
3345,"83 12/03/2019 F F8319035 LOUIS Particulier CHATEAUDOUBLE OUI 14/11/2019 Canis lupus Italo-alpine NI NA 0,00",83,12/03/2019,F,F8319035,LOUIS,Particulier,CHATEAUDOUBLE,OUI,14/11/2019,Canis lupus,Italo-alpine,NI,NA,0
3346,"83 14/03/2019 F F8319037 PULLINO OFB BAUDUEN OUI 14/11/2019 Canis lupus NA XX S57-57 0,54",83,14/03/2019,F,F8319037,PULLINO,OFB,BAUDUEN,OUI,14/11/2019,Canis lupus,NA,XX,S57-57,"0,54"
3347,"83 14/03/2019 F F8319036 PULLINO OFB BAUDUEN OUI 17/02/2020 Canis lupus NA XX S57-57 0,72",83,14/03/2019,F,F8319036,PULLINO,OFB,BAUDUEN,OUI,17/02/2020,Canis lupus,NA,XX,S57-57,"0,72"
3348,"83 18/03/2019 F F8319038 POMPERMEIER ONF BAUDUEN OUI 18/09/2019 Canis lupus Italo-alpine XX S64-30 0,81",83,18/03/2019,F,F8319038,POMPERMEIER,ONF,BAUDUEN,OUI,18/09/2019,Canis lupus,Italo-alpine,XX,S64-30,"0,81"
3349,83 19/03/2019 F F8319040 AUBERGIER OFB SEILLONS SOURCE DARGENS OUI 10/06/2020 Impossible NA,83,19/03/2019,F,F8319040,AUBERGIER,OFB,SEILLONS SOURCE DARGENS,OUI,10/06/2020,Impossible NA,,,,
3350,83 19/03/2019 F F8319039 AUBERGIER OFB ST MARTIN OUI 10/06/2020 Impossible NA,83,19/03/2019,F,F8319039,AUBERGIER,OFB,ST MARTIN,OUI,10/06/2020,Impossible NA,,,,
3351,"83 20/03/2019 F F8319046 AUBERGIER OFB PONTEVES OUI 10/06/2020 Canis lupus Italo-alpine NI NA 0,00",83,20/03/2019,F,F8319046,AUBERGIER,OFB,PONTEVES,OUI,10/06/2020,Canis lupus,Italo-alpine,NI,NA,0
3352,"83 20/03/2019 F F8319041 AUBERGIER OFB PONTEVES OUI 10/06/2020 Canis lupus Italo-alpine NI NA 0,00",83,20/03/2019,F,F8319041,AUBERGIER,OFB,PONTEVES,OUI,10/06/2020,Canis lupus,Italo-alpine,NI,NA,0
3353,"83 20/03/2019 F F8319042 AUBERGIER OFB PONTEVES OUI 10/06/2020 Canis lupus Italo-alpine NI NA 0,14",83,20/03/2019,F,F8319042,AUBERGIER,OFB,PONTEVES,OUI,10/06/2020,Canis lupus,Italo-alpine,NI,NA,"0,14"
3354,83 20/03/2019 F F8319043 AUBERGIER OFB PONTEVES OUI 10/06/2020 Vulpes vulpes,83,20/03/2019,F,F8319043,AUBERGIER,OFB,PONTEVES,OUI,10/06/2020,Vulpes vulpes,,,,
3355,"83 20/03/2019 F F8319044 AUBERGIER OFB PONTEVES OUI 10/06/2020 Canis lupus Italo-alpine XX S69-44 0,75",83,20/03/2019,F,F8319044,AUBERGIER,OFB,PONTEVES,OUI,10/06/2020,Canis lupus,Italo-alpine,XX,S69-44,"0,75"
3356,"83 20/03/2019 F F8319045 AUBERGIER OFB PONTEVES OUI 10/06/2020 Canis lupus Italo-alpine XY NA 0,43",83,20/03/2019,F,F8319045,AUBERGIER,OFB,PONTEVES,OUI,10/06/2020,Canis lupus,Italo-alpine,XY,NA,"0,43"
3357,"83 20/03/2019 F F8319047 AUBERGIER OFB PONTEVES OUI 10/06/2020 Canis lupus Italo-alpine NI NA 0,00",83,20/03/2019,F,F8319047,AUBERGIER,OFB,PONTEVES,OUI,10/06/2020,Canis lupus,Italo-alpine,NI,NA,0
3358,"83 21/03/2019 F F8319049 AUBERGIER OFB VARAGES OUI 10/06/2020 Canis lupus NA XY S51-26 0,52",83,21/03/2019,F,F8319049,AUBERGIER,OFB,VARAGES,OUI,10/06/2020,Canis lupus,NA,XY,S51-26,"0,52"
3359,"83 21/03/2019 F F8319048 AUBERGIER OFB VARAGES OUI 10/06/2020 Impossible NA XX NA 0,48",83,21/03/2019,F,F8319048,AUBERGIER,OFB,VARAGES,OUI,10/06/2020,Impossible NA,XX,NA,0,"0,48"
3360,83 22/03/2019 F F8319050 PULLINO OFB CHATEAUDOUBLE OUI 17/02/2020 NA NA,83,22/03/2019,F,F8319050,PULLINO,OFB,CHATEAUDOUBLE,OUI,17/02/2020,NA NA,,,,
3361,"83 23/03/2019 F F8319103 PULLINO OFB COMPS SUR ARTUBY OUI 13/09/2020 Canis lupus NA XY S63-15 0,76",83,23/03/2019,F,F8319103,PULLINO,OFB,COMPS SUR ARTUBY,OUI,13/09/2020,Canis lupus,NA,XY,S63-15,"0,76"
3362,"83 25/03/2019 F F8319051 LOUIS Particulier BORMES LES MIMOSAS OUI 17/02/2020 Canis lupus Italo-alpine XY S68-07 0,78",83,25/03/2019,F,F8319051,LOUIS,Particulier,BORMES LES MIMOSAS,OUI,17/02/2020,Canis lupus,Italo-alpine,XY,S68-07,"0,78"
3363,"83 25/03/2019 F F8319052 LOUIS Particulier BORMES LES MIMOSAS OUI 17/02/2020 Canis lupus Italo-alpine XY S68-07 0,99",83,25/03/2019,F,F8319052,LOUIS,Particulier,BORMES LES MIMOSAS,OUI,17/02/2020,Canis lupus,Italo-alpine,XY,S68-07,"0,99"
3364,"83 27/03/2019 F F8319053 RAVAUX ONF CHATEAUDOUBLE OUI 14/11/2019 Canis lupus Italo-alpine XY S67-38 0,76",83,27/03/2019,F,F8319053,RAVAUX,ONF,CHATEAUDOUBLE,OUI,14/11/2019,Canis lupus,Italo-alpine,XY,S67-38,"0,76"
3365,83 28/03/2019 F F8319054 PULLINO OFB MEOUNES LES MONTRIEUX OUI 17/02/2020 Vulpes vulpes,83,28/03/2019,F,F8319054,PULLINO,OFB,MEOUNES LES MONTRIEUX,OUI,17/02/2020,Vulpes vulpes,,,,
3366,"83 01/04/2019 F F8319068 PULLINO OFB BAUDUEN OUI 14/11/2019 Canis lupus NA XY S66-38 0,78",83,01/04/2019,F,F8319068,PULLINO,OFB,BAUDUEN,OUI,14/11/2019,Canis lupus,NA,XY,S66-38,"0,78"
3367,"83 01/04/2019 F F8319069 PULLINO OFB BAUDUEN OUI 14/11/2019 Impossible NA NI NA 0,34",83,01/04/2019,F,F8319069,PULLINO,OFB,BAUDUEN,OUI,14/11/2019,Impossible NA,NI,NA,0,"0,34"
3368,83 02/04/2019 D D8319005 PULLINO OFB COMPS SUR ARTUBY NON a VSARLE NA,83,02/04/2019,D,D8319005,PULLINO,OFB,COMPS SUR ARTUBY,NON,,a VSARLE,NA,,,
3369,83 02/04/2019 F F8319070 KRAMMER PNM COLLOBRIERES OUI 08/04/2021,83,02/04/2019,F,F8319070,KRAMMER,PNM,COLLOBRIERES,OUI,08/04/2021,,,,,
3370,83 06/04/2019 F F8319071 JAUBERT OFB COMPS SUR ARTUBY OUI 18/09/2019 Impossible NA,83,06/04/2019,F,F8319071,JAUBERT,OFB,COMPS SUR ARTUBY,OUI,18/09/2019,Impossible NA,,,,
3371,83 09/04/2019 P P8319002 PHILIBERT FDC BRAS NON,83,09/04/2019,P,P8319002,PHILIBERT,FDC,BRAS,NON,,,,,,
3372,"83 09/04/2019 F F8319072 CALI OFB AUPS OUI 10/06/2020 Canis lupus Italo-alpine NI NA 0,07",83,09/04/2019,F,F8319072,CALI,OFB,AUPS,OUI,10/06/2020,Canis lupus,Italo-alpine,NI,NA,"0,07"
3373,"83 10/04/2019 F F8319073 CALI OFB FOX AMPHOUX OUI 10/06/2020 Canis lupus Italo-alpine XX S55-25 0,71",83,10/04/2019,F,F8319073,CALI,OFB,FOX AMPHOUX,OUI,10/06/2020,Canis lupus,Italo-alpine,XX,S55-25,"0,71"
3374,"83 11/04/2019 F F8319074 CALI OFB MONTMEYAN OUI 10/06/2020 Canis lupus Italo-alpine NI NA 0,00",83,11/04/2019,F,F8319074,CALI,OFB,MONTMEYAN,OUI,10/06/2020,Canis lupus,Italo-alpine,NI,NA,0
3375,"83 11/04/2019 D D8319002 ROUX OFB FREJUS OUI 14/11/2019 Canis lupus Italo-alpine XY S67-36 0,97",83,11/04/2019,D,D8319002,ROUX,OFB,FREJUS,OUI,14/11/2019,Canis lupus,Italo-alpine,XY,S67-36,"0,97"
3376,"83 11/04/2019 F F8319057 DOUSSIERE PNRV LES SALLES SUR VERDON OUI 18/09/2019 Canis lupus Italo-alpine XX S64-31 0,70",83,11/04/2019,F,F8319057,DOUSSIERE,PNRV,LES SALLES SUR VERDON,OUI,18/09/2019,Canis lupus,Italo-alpine,XX,S64-31,"0,7"
3377,"83 17/04/2019 F F8319075 JAUBERT OFB LA ROQUE ESCLAPON OUI 18/09/2019 Canis lupus Italo-alpine XX S40b-21 0,77",83,17/04/2019,F,F8319075,JAUBERT,OFB,LA ROQUE ESCLAPON,OUI,18/09/2019,Canis lupus,Italo-alpine,XX,S40b-21,"0,77"
3378,"83 18/04/2019 F F8319058 LOUIS Particulier BAUDUEN OUI 18/09/2019 Canis lupus Italo-alpine XX NA 0,26",83,18/04/2019,F,F8319058,LOUIS,Particulier,BAUDUEN,OUI,18/09/2019,Canis lupus,Italo-alpine,XX,NA,"0,26"
3379,"83 23/04/2019 F F8319077 LOUIS Particulier TRIGANCE OUI 18/09/2019 Canis lupus Italo-alpine XX S62-22 0,64",83,23/04/2019,F,F8319077,LOUIS,Particulier,TRIGANCE,OUI,18/09/2019,Canis lupus,Italo-alpine,XX,S62-22,"0,64"
3380,"83 23/04/2019 F F8319076 POMPERMEIER ONF AUPS OUI 18/09/2019 Canis lupus Italo-alpine NI NA 0,00",83,23/04/2019,F,F8319076,POMPERMEIER,ONF,AUPS,OUI,18/09/2019,Canis lupus,Italo-alpine,NI,NA,0
3381,"83 26/04/2019 F F8319059 LOUIS Particulier FIGANIERES OUI 18/09/2019 Canis lupus NA XX S62-06 0,63",83,26/04/2019,F,F8319059,LOUIS,Particulier,FIGANIERES,OUI,18/09/2019,Canis lupus,NA,XX,S62-06,"0,63"
3382,"83 13/05/2019 F F8319056 POMPERMEIER ONF AUPS OUI 18/09/2019 Canis lupus NA XY S64-32 0,76",83,13/05/2019,F,F8319056,POMPERMEIER,ONF,AUPS,OUI,18/09/2019,Canis lupus,NA,XY,S64-32,"0,76"
3383,83 15/05/2019 D D8319007 SAPANEL OFB COMPS SUR ARTUBY OUI 08/02/2021 Canis lupus Italo-alpine,83,15/05/2019,D,D8319007,SAPANEL,OFB,COMPS SUR ARTUBY,OUI,08/02/2021,Canis lupus,Italo-alpine,,,
3384,83 15/05/2019 D D8319006 SAPANEL OFB COMPS SUR ARTUBY OUI 08/02/2021 Canis lupus Italo-alpine,83,15/05/2019,D,D8319006,SAPANEL,OFB,COMPS SUR ARTUBY,OUI,08/02/2021,Canis lupus,Italo-alpine,,,
3385,"83 16/05/2019 F F8319078 ORSINI MNHN EVENOS OUI 13/09/2020 Canis lupus Italo-alpine XY S70-100 0,85",83,16/05/2019,F,F8319078,ORSINI,MNHN,EVENOS,OUI,13/09/2020,Canis lupus,Italo-alpine,XY,S70-100,"0,85"
3386,"83 16/05/2019 F F8319055 POMPERMEIER ONF TOURTOUR OUI 18/09/2019 Canis lupus Italo-alpine NI S58-03 0,54",83,16/05/2019,F,F8319055,POMPERMEIER,ONF,TOURTOUR,OUI,18/09/2019,Canis lupus,Italo-alpine,NI,S58-03,"0,54"
3387,"83 31/05/2019 F F8319064 JAUBERT OFB LA ROQUE ESCLAPON OUI 18/09/2019 Canis lupus Italo-alpine XX S40b-21 0,57",83,31/05/2019,F,F8319064,JAUBERT,OFB,LA ROQUE ESCLAPON,OUI,18/09/2019,Canis lupus,Italo-alpine,XX,S40b-21,"0,57"
3388,"83 02/06/2019 F F8319065 JAUBERT OFB SIGNES OUI 18/09/2019 Canis lupus Italo-alpine XY S64-34 0,95",83,02/06/2019,F,F8319065,JAUBERT,OFB,SIGNES,OUI,18/09/2019,Canis lupus,Italo-alpine,XY,S64-34,"0,95"
3389,"83 17/06/2019 F F8319060 RAVAUX ONF CHATEAUDOUBLE OUI 18/09/2019 Canis lupus Italo-alpine XX S62-06 0,81",83,17/06/2019,F,F8319060,RAVAUX,ONF,CHATEAUDOUBLE,OUI,18/09/2019,Canis lupus,Italo-alpine,XX,S62-06,"0,81"
3390,"83 20/06/2019 F F8319079 LOUIS Particulier COLLOBRIERES OUI 13/09/2020 Canis lupus Italo-alpine XX S70-007 0,74",83,20/06/2019,F,F8319079,LOUIS,Particulier,COLLOBRIERES,OUI,13/09/2020,Canis lupus,Italo-alpine,XX,S70-007,"0,74"
3391,83 24/06/2019 F F8319097 POMPERMEIER ONF AUPS NON,83,24/06/2019,F,F8319097,POMPERMEIER,ONF,AUPS,NON,,,,,,
3392,"83 25/06/2019 F F8319098 POMPERMEIER ONF AUPS OUI 13/09/2020 Canis lupus Italo-alpine XX NA 0,16",83,25/06/2019,F,F8319098,POMPERMEIER,ONF,AUPS,OUI,13/09/2020,Canis lupus,Italo-alpine,XX,NA,"0,16"
3393,83 01/07/2019 F F8319061 LOUIS Particulier TOURVES OUI 18/09/2019 Vulpes vulpes,83,01/07/2019,F,F8319061,LOUIS,Particulier,TOURVES,OUI,18/09/2019,Vulpes vulpes,,,,
3394,"83 01/07/2019 F F8319066 JAUBERT OFB EVENOS OUI 18/09/2019 Canis lupus Italo-alpine XX S64-35 0,94",83,01/07/2019,F,F8319066,JAUBERT,OFB,EVENOS,OUI,18/09/2019,Canis lupus,Italo-alpine,XX,S64-35,"0,94"
3395,"83 08/07/2019 F F8319081 ORSINI MNHN COLLOBRIERES OUI 26/10/2020 Canis lupus Italo-alpine XX S70-007 0,73",83,08/07/2019,F,F8319081,ORSINI,MNHN,COLLOBRIERES,OUI,26/10/2020,Canis lupus,Italo-alpine,XX,S70-007,"0,73"
3396,83 08/07/2019 F F8319082 ORSINI MNHN COLLOBRIERES OUI 26/10/2020 NA NA,83,08/07/2019,F,F8319082,ORSINI,MNHN,COLLOBRIERES,OUI,26/10/2020,NA NA,,,,
3397,"83 08/07/2019 F F8319080 ORSINI MNHN COLLOBRIERES OUI 26/10/2020 Canis lupus Italo-alpine NI S57-30 0,32",83,08/07/2019,F,F8319080,ORSINI,MNHN,COLLOBRIERES,OUI,26/10/2020,Canis lupus,Italo-alpine,NI,S57-30,"0,32"
3398,"83 22/07/2019 F F8319083 ORSINI MNHN COLLOBRIERES OUI 13/09/2020 Canis lupus NA XX S70-007 0,89",83,22/07/2019,F,F8319083,ORSINI,MNHN,COLLOBRIERES,OUI,13/09/2020,Canis lupus,NA,XX,S70-007,"0,89"
3399,"83 22/07/2019 F F8319084 ORSINI MNHN COLLOBRIERES OUI 13/09/2020 Canis lupus Italo-alpine XX S70-007 0,92",83,22/07/2019,F,F8319084,ORSINI,MNHN,COLLOBRIERES,OUI,13/09/2020,Canis lupus,Italo-alpine,XX,S70-007,"0,92"
3400,"83 22/07/2019 F F8319085 ORSINI MNHN COLLOBRIERES OUI 13/09/2020 Canis lupus NA XY NA 0,49",83,22/07/2019,F,F8319085,ORSINI,MNHN,COLLOBRIERES,OUI,13/09/2020,Canis lupus,NA,XY,NA,"0,49"
3401,"83 30/07/2019 F F8319099 POMPERMEIER ONF BAUDUEN OUI 10/06/2020 Canis lupus Italo-alpine XX S55-25 0,69",83,30/07/2019,F,F8319099,POMPERMEIER,ONF,BAUDUEN,OUI,10/06/2020,Canis lupus,Italo-alpine,XX,S55-25,"0,69"
3402,83 05/08/2019 F F8319063 LOUIS Particulier GONFARON OUI 18/09/2019 Impossible NA,83,05/08/2019,F,F8319063,LOUIS,Particulier,GONFARON,OUI,18/09/2019,Impossible NA,,,,
3403,"83 05/08/2019 F F8319062 LOUIS Particulier GONFARON OUI 18/09/2019 Canis lupus Italo-alpine NI NA 0,11",83,05/08/2019,F,F8319062,LOUIS,Particulier,GONFARON,OUI,18/09/2019,Canis lupus,Italo-alpine,NI,NA,"0,11"
3404,"83 06/08/2019 F F8319086 ORSINI MNHN COLLOBRIERES OUI 26/10/2020 Canis lupus NA XY S57-30 0,65",83,06/08/2019,F,F8319086,ORSINI,MNHN,COLLOBRIERES,OUI,26/10/2020,Canis lupus,NA,XY,S57-30,"0,65"
3405,"83 06/08/2019 F F8319088 ORSINI MNHN COLLOBRIERES OUI 26/10/2020 Canis lupus Italo-alpine XX S70-007 0,93",83,06/08/2019,F,F8319088,ORSINI,MNHN,COLLOBRIERES,OUI,26/10/2020,Canis lupus,Italo-alpine,XX,S70-007,"0,93"
3406,83 06/08/2019 F F8319087 ORSINI MNHN COLLOBRIERES OUI 26/10/2020 NA NA,83,06/08/2019,F,F8319087,ORSINI,MNHN,COLLOBRIERES,OUI,26/10/2020,NA NA,,,,
3407,"83 06/08/2019 F F8319156 ORSINI MNHN COLLOBRIERES OUI 26/10/2020 Canis lupus Italo-alpine XX S70-007 0,87",83,06/08/2019,F,F8319156,ORSINI,MNHN,COLLOBRIERES,OUI,26/10/2020,Canis lupus,Italo-alpine,XX,S70-007,"0,87"
3408,83 20/08/2019 F F8319089 ORSINI MNHN COLLOBRIERES OUI 13/09/2020 Impossible NA,83,20/08/2019,F,F8319089,ORSINI,MNHN,COLLOBRIERES,OUI,13/09/2020,Impossible NA,,,,
3409,"83 20/08/2019 F F8319090 ORSINI MNHN COLLOBRIERES OUI 13/09/2020 Canis lupus Italo-alpine XY S57-30 0,98",83,20/08/2019,F,F8319090,ORSINI,MNHN,COLLOBRIERES,OUI,13/09/2020,Canis lupus,Italo-alpine,XY,S57-30,"0,98"
3410,"83 30/08/2019 D D8319008 LOUIS Particulier SEILLANS OUI 18/09/2019 Canis lupus Italo-alpine XX S40b-21 1,00",83,30/08/2019,D,D8319008,LOUIS,Particulier,SEILLANS,OUI,18/09/2019,Canis lupus,Italo-alpine,XX,S40b-21,1
3411,83 30/08/2019 D D8319011 LOUIS Particulier SEILLANS NON Na VSARIE,83,30/08/2019,D,D8319011,LOUIS,Particulier,SEILLANS,NON,,Na VSARIE,,,,
3412,"83 30/08/2019 D D8319009 LOUIS Particulier SEILLANS OUI 18/09/2019 Canis lupus Italo-alpine NI NA 0,43",83,30/08/2019,D,D8319009,LOUIS,Particulier,SEILLANS,OUI,18/09/2019,Canis lupus,Italo-alpine,NI,NA,"0,43"
3413,"83 31/08/2019 F F8319091 PULLINO OFB CHATEAUVERT OUI 26/10/2020 Canis lupus NA XY S69-02 0,90",83,31/08/2019,F,F8319091,PULLINO,OFB,CHATEAUVERT,OUI,26/10/2020,Canis lupus,NA,XY,S69-02,"0,9"
3414,83 03/09/2019 P P8319001 LOUIS Particulier SIGNES NON,83,03/09/2019,P,P8319001,LOUIS,Particulier,SIGNES,NON,,,,,,
3415,"83 04/09/2019 F F8319130 ORSINI MNHN COLLOBRIERES OUI 13/09/2020 Canis lupus NA XX S70-007 0,70",83,04/09/2019,F,F8319130,ORSINI,MNHN,COLLOBRIERES,OUI,13/09/2020,Canis lupus,NA,XX,S70-007,"0,7"
3416,"83 04/09/2019 F F8319129 ORSINI MNHN COLLOBRIERES OUI 13/09/2020 Canis lupus Italo-alpine XY S57-30 0,83",83,04/09/2019,F,F8319129,ORSINI,MNHN,COLLOBRIERES,OUI,13/09/2020,Canis lupus,Italo-alpine,XY,S57-30,"0,83"
3417,"83 05/09/2019 D D8319010 PULLINO OFB FOX AMPHOUX OUI 18/09/2019 Canis lupus Italo-alpine XX S57-23 1,00",83,05/09/2019,D,D8319010,PULLINO,OFB,FOX AMPHOUX,OUI,18/09/2019,Canis lupus,Italo-alpine,XX,S57-23,1
3418,"83 09/09/2019 F F8319100 POMPERMEIER ONF BAUDUEN OUI 17/02/2020 Canis lupus Italo-alpine NI NA 0,00",83,09/09/2019,F,F8319100,POMPERMEIER,ONF,BAUDUEN,OUI,17/02/2020,Canis lupus,Italo-alpine,NI,NA,0
3419,"83 12/09/2019 F F8319092 PHILIBERT FDC PLAN D AUPS STE BAUME OUI 17/02/2020 Canis lupus Italo-alpine XX NA 0,40",83,12/09/2019,F,F8319092,PHILIBERT,FDC,PLAN D AUPS STE BAUME,OUI,17/02/2020,Canis lupus,Italo-alpine,XX,NA,"0,4"
3420,"83 13/09/2019 F F8319093 PHILIBERT FDC CARCES OUI 17/02/2020 Canis lupus Italo-alpine XY S60-39 0,84",83,13/09/2019,F,F8319093,PHILIBERT,FDC,CARCES,OUI,17/02/2020,Canis lupus,Italo-alpine,XY,S60-39,"0,84"
3421,"83 13/09/2019 F F8319094 PHILIBERT FDC CARCES OUI 17/02/2020 Canis lupus NA NI S60-39 0,35",83,13/09/2019,F,F8319094,PHILIBERT,FDC,CARCES,OUI,17/02/2020,Canis lupus,NA,NI,S60-39,"0,35"
3422,"83 16/09/2019 F F8319096 LOUIS Particulier AIGUINES OUI 17/02/2020 Canis lupus Italo-alpine XY S66-38 0,97",83,16/09/2019,F,F8319096,LOUIS,Particulier,AIGUINES,OUI,17/02/2020,Canis lupus,Italo-alpine,XY,S66-38,"0,97"
3423,83 18/09/2019 F F8319095 PHILIBERT FDC GINASSERVIS OUI 17/02/2020,83,18/09/2019,F,F8319095,PHILIBERT,FDC,GINASSERVIS,OUI,17/02/2020,,,,,
3424,83 22/09/2019 F F8319131 ORSINI MNHN COLLOBRIERES OUI 10/06/2020 Impossible NA,83,22/09/2019,F,F8319131,ORSINI,MNHN,COLLOBRIERES,OUI,10/06/2020,Impossible NA,,,,
